word,word.length,sexual.nature,sexual.context,age.appropriate,variety
fuck,4,6,2.5,1,vulgar
ass,3,5.1,2,1,vulgar
tit,3,5.9,1.9,1,vulgar
cameltoe,8,5.6,2.1,1,vulgar
pussy,5,5.8,2,1,vulgar
dong,4,6.6,2.4,1,vulgar
shlong,6,4.5,2.3,1,vulgar
naked,5,6.3,1.8,1,vulgar
xxx,3,5.8,2.2,1,vulgar
dick,4,6.1,2.3,1,vulgar
do,2,4.7,1.4,0.5,Versicolor
eat,3,4.5,1.5,0.5,Versicolor
sit,3,4.9,1.5,0.5,Versicolor
big,3,4,1.3,0.5,Versicolor
small,5,4.6,1.5,0.5,Versicolor
love,4,4.5,1.3,0.5,Versicolor
make,4,4.7,1.6,0.5,Versicolor
come,4,3.3,1,0.5,Versicolor
ride,4,4.6,1.3,0.5,Versicolor
nut,3,3.9,1.4,0.5,Versicolor
a,1,3.5,0.2,0,Virginica
an,2,3,0.2,0,Virginica
the,3,3.2,0.2,0,Virginica
what,4,3.1,0.2,0,Virginica
where,5,3.6,0.2,0,Virginica
when,4,3.9,0.4,0,Virginica
why,3,3.4,0.3,0,Virginica
who,3,3.4,0.2,0,Virginica
or,2,2.9,0.2,0,Virginica
if,2,3.1,0.1,0,Virginica
